,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
131,UKM84,-0.06044606499388748,-0.07845330698788634,-0.0474762637901949,-0.01945491449582618,122,0.656,0.326,0.775,0.166,1
132,UKM91,-0.06391896189417438,-0.08632815230815838,-0.052435159508773574,-0.027914181017407315,119,0.748,0.779,0.75,0.437,3
133,UKM92,-0.060443116043146186,-0.0794923920361937,-0.053015064521543455,-0.028391314338498855,113,0.761,0.454,0.75,0.259,2
134,UKM93,-0.055461074517087865,-0.07287993058518279,-0.04369975066799803,-0.02160701492017613,117,0.667,0.861,0.01,0.006,1
135,UKM94,-0.055230588231328544,-0.07608510392985958,-0.04563928205308154,-0.022490356441946913,116,0.681,0.568,0.01,0.004,1
136,UKM95,-0.06083864708429608,-0.08152953859971976,-0.0498871610048833,-0.02329562116698046,120,0.675,0.564,0.614,0.234,2
137,UKN06,-0.05471545786506415,-0.07518232518232516,-0.048048048048048034,-0.02541827541827541,127,0.74,0.466,0.562,0.194,1
138,UKN07,-0.053540884051899544,-0.07314977125363711,-0.04919570786480102,-0.026772815287621727,123,0.74,0.392,0.561,0.163,1
139,UKN08,-0.06005130092257626,-0.07836326526022219,-0.0578274706490936,-0.029191438131937877,118,0.754,0.348,0.558,0.146,1
140,UKN09,-0.06310692316541947,-0.0826229590648387,-0.057487774896430144,-0.029971936299531345,121,0.769,0.39,0.559,0.168,1
141,UKN0A,-0.05360915188584342,-0.07785552886203498,-0.03933876445278474,-0.019578112535147418,127,0.638,0.351,0.539,0.121,1
142,UKN0B,-0.05781909132409682,-0.07793729500054736,-0.05246769674879484,-0.028784727430970845,121,0.76,0.398,0.658,0.199,1
143,UKN0C,-0.05508103914840907,-0.0793732203729923,-0.043251375450066534,-0.02188347916770706,124,0.669,0.156,0.895,0.093,1
144,UKN0D,-0.05315611952719476,-0.07426088918979915,-0.046264951478221614,-0.024599413225005636,128,0.703,0.677,0.753,0.358,2
145,UKN0E,-0.05343706875200413,-0.07059205549012934,-0.05197241652853711,-0.022797955845879236,126,0.706,0.077,0.56,0.03,1
146,UKN0F,-0.054853452047450554,-0.07782688167525344,-0.04704401667829371,-0.02463573367363381,126,0.722,0.428,0.871,0.269,2
147,UKN0G,-0.060405822507912425,-0.08490491579210944,-0.04409396469622916,-0.025453027711086137,122,0.73,0.655,0.757,0.362,2
148,UKM65,-0.04944195260584983,-0.06910735705717712,-0.038709864891252804,-0.018807709474349794,110,0.609,1.0,0.751,0.457,3
149,UKM66,-0.041813671274946694,-0.051472523446695714,-0.02883627797764355,-0.014112553197592345,109,0.523,0.459,0.753,0.181,1
150,UKJ31,-0.08458773479612215,-0.10553603335318643,-0.06888028588445505,-0.03692674210839787,119,0.824,1.0,0.01,0.008,1
151,UKJ32,-0.07725301072338635,-0.09351851851851853,-0.06291921843102946,-0.036599591717701954,122,0.795,0.34,0.635,0.172,1
152,UKJ34,-0.07703749877294591,-0.10034431137724552,-0.06175149700598802,-0.03521706586826347,122,0.795,1.0,0.01,0.008,1
153,UKJ35,-0.07703749877294591,-0.10034431137724552,-0.06175149700598802,-0.03521706586826347,122,0.795,1.0,0.01,0.008,1
154,UKJ36,-0.080667411794592,-0.10194913354837884,-0.0630385393494726,-0.036549586348462546,119,0.807,1.0,0.01,0.008,1
155,UKJ37,-0.08444115266047994,-0.1088038515579283,-0.06455615394966191,-0.03712016664632615,110,0.836,1.0,0.053,0.044,1
156,UKJ41,-0.08169921875,-0.11553158967391305,-0.06779042119565218,-0.03676970108695653,120,0.85,1.0,0.08,0.068,1
157,UKJ43,-0.08415446253184744,-0.12007896221094191,-0.06526226734348561,-0.03601240834743372,116,0.862,0.647,0.01,0.006,1
158,UKJ44,-0.07806845672407761,-0.1072612200863301,-0.06441993287407402,-0.033734824872739044,122,0.811,0.726,0.01,0.006,1
159,UKJ45,-0.0786036143872246,-0.11095652573846454,-0.06815079574965054,-0.033076707013996454,121,0.793,0.166,0.895,0.118,1
160,UKJ46,-0.08312736174073268,-0.10368151787656062,-0.06434632787805976,-0.04017026703462139,120,0.817,0.36,0.751,0.221,2
161,UKK11,-0.08080226657342154,-0.10718928757150287,-0.06981279251170046,-0.03594643785751429,116,0.802,1.0,0.109,0.087,1
162,UKK12,-0.07620524467839895,-0.10396345751763247,-0.06537469449224108,-0.03523637390448169,118,0.788,0.954,0.01,0.008,1
163,UKK13,-0.07903046244870032,-0.09523310703944327,-0.061261162615276046,-0.03190914178650509,118,0.78,0.941,0.01,0.007,1
164,UKK14,-0.07647571454273135,-0.11565928622777763,-0.06586485651452087,-0.029592860000409928,120,0.775,0.338,0.662,0.173,1
165,UKK15,-0.06920012886628979,-0.09603827925051535,-0.05746748476405064,-0.030794235721493795,122,0.787,0.613,0.019,0.009,1
166,UKK24,-0.07140493788830433,-0.09173981867894661,-0.05597927759389842,-0.03252266513167362,127,0.78,0.876,0.01,0.007,1
167,UKK25,-0.06813027568345607,-0.09051824308621892,-0.0579616757864492,-0.02897371904333679,127,0.756,0.623,0.01,0.005,1
168,UKK23,-0.06987650479302109,-0.10240705857478202,-0.058104158307364435,-0.02936833107882452,119,0.765,1.0,0.01,0.008,1
169,UKK30,-0.061389163938652395,-0.08370637390833371,-0.04759090875055223,-0.022298071379187268,126,0.698,1.0,0.02,0.014,1
170,UKK41,-0.06439634067774772,-0.0891959798994975,-0.049078726968174204,-0.029313232830820775,130,0.762,1.0,0.01,0.008,1
171,UKK42,-0.06884734622908063,-0.09363181916974571,-0.05259726146489891,-0.032166920234731576,125,0.776,1.0,0.01,0.008,1
172,UKK43,-0.06785040859440174,-0.09223512022083802,-0.05478191503227292,-0.029046630693778802,122,0.779,1.0,0.092,0.072,1
173,UKL11,-0.07479211849218796,-0.09693730169589843,-0.06378068048787049,-0.031225769329277495,112,0.786,1.0,0.01,0.008,1
174,UKL12,-0.06173266079115098,-0.07967108795543063,-0.05035205830750367,-0.023750531118475623,118,0.695,0.728,0.086,0.044,1
175,UKL13,-0.06867526412668555,-0.08808882556699957,-0.05854574020406174,-0.025068419075609787,120,0.725,0.511,0.874,0.324,2
176,UKL14,-0.059143721112613006,-0.07685544306253697,-0.05105346412990887,-0.025090455695444696,120,0.708,0.02,0.587,0.008,1
177,UKL15,-0.06586436658493397,-0.09169646152077776,-0.05154086281057733,-0.028417031162090056,118,0.754,0.249,0.754,0.142,1
178,UKL16,-0.06986262599523561,-0.08954806695227727,-0.055557760228580506,-0.033090081214402926,118,0.805,0.117,0.556,0.052,1
