Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
"DE: Wolfsburg, Kreisfreie Stadt",DE913,-0.02453047714639773,-0.031891031126538634,-0.019226741350664097,-0.008648617186828252,118,0.661,1.0,0.74,0.489,3
"DE: Salzgitter, Kreisfreie Stadt",DE912,-0.022598760483733545,-0.028785658257904728,-0.018604641740305974,-0.008829962305492746,118,0.686,1.0,0.933,0.64,4
DE: Konstanz,DE138,-0.025844649284527513,-0.03471416956470029,-0.019540378067821745,-0.009143796523442625,122,0.664,0.86,0.737,0.421,3
DE: Kulmbach,DE24B,-0.02256676912420424,-0.030269544574726748,-0.018651124136707057,-0.009240772057710265,120,0.667,0.792,0.416,0.22,2
DE: Lichtenfels,DE24C,-0.028586811798830162,-0.037495261311801274,-0.018681493545294373,-0.008277647435785736,117,0.675,0.969,0.366,0.239,2
DE: Weißenburg-Gunzenhausen,DE25C,-0.024748015041696037,-0.029468703707488015,-0.019045050535342084,-0.009044598610668864,123,0.675,0.902,0.686,0.418,3
"DE: Aschaffenburg, Kreisfreie Stadt",DE261,-0.02870476082826423,-0.03644078960292046,-0.018865817560250013,-0.009047429523426154,114,0.693,0.792,0.69,0.379,2
"DE: Schweinfurt, Kreisfreie Stadt",DE262,-0.029044654650142412,-0.03945534856763677,-0.018891042227489434,-0.008360977304475516,111,0.667,0.792,0.448,0.237,2
"DE: Würzburg, Kreisfreie Stadt",DE263,-0.024173018502870573,-0.03194996556674676,-0.018251997690176575,-0.00848268230788934,119,0.664,0.792,0.557,0.293,2
DE: Freudenstadt,DE12C,-0.026613778211196495,-0.034129964791547396,-0.019501802911232796,-0.009126550570536237,119,0.681,0.481,0.851,0.279,2
"DE: Regensburg, Landkreis",DE238,-0.02756199742802709,-0.037800421114564206,-0.01855104678715555,-0.009781444023417048,110,0.655,0.949,0.499,0.31,2
DE: Schwandorf,DE239,-0.025402671140934908,-0.032509347351935385,-0.019290249641442322,-0.008940583735689569,120,0.675,0.649,0.499,0.219,2
DE: Kitzingen,DE268,-0.026115979836774092,-0.034099332635603635,-0.01815536510808194,-0.009938279504021982,115,0.696,1.0,0.316,0.22,2
DE: Neu-Ulm,DE279,-0.028422815584894554,-0.04438925798422169,-0.018595605849784428,-0.008074474185761337,113,0.637,0.941,0.596,0.357,2
"DE: Erlangen, Kreisfreie Stadt",DE252,-0.02998330588160917,-0.04003305879479703,-0.018154099263274437,-0.009018479043502418,110,0.682,0.792,0.713,0.385,2
"DE: Fürth, Kreisfreie Stadt",DE253,-0.02913771901962024,-0.03980815582557474,-0.017933660611233637,-0.008327208716963054,109,0.67,0.792,0.765,0.406,3
"DE: Braunschweig, Kreisfreie Stadt",DE911,-0.02777686519502997,-0.03421438785449374,-0.016870470526842103,-0.007187169748781211,113,0.646,1.0,0.814,0.526,3
DE: Regen,DE229,-0.027237560317169354,-0.03398208343978699,-0.017958100824148553,-0.008306501290930517,108,0.676,0.037,0.344,0.009,1
"DE: Aschaffenburg, Landkreis",DE264,-0.029798162170749595,-0.03797526856535797,-0.019214176250766386,-0.00775187813338014,108,0.62,0.792,0.798,0.392,2
"DE: München, Kreisfreie Stadt",DE212,-0.02726636748936492,-0.03794806076618654,-0.01790175382662585,-0.008125129184405656,111,0.64,0.435,0.963,0.268,2
"DE: Rosenheim, Kreisfreie Stadt",DE213,-0.02875535765047618,-0.0374940744792613,-0.018847811410971402,-0.008751541240006173,110,0.664,0.333,0.521,0.115,1
"DE: Nürnberg, Kreisfreie Stadt",DE254,-0.03089769641191533,-0.04067000950544393,-0.018410576728225308,-0.009864074092346565,109,0.697,0.792,0.825,0.455,3
"DE: Schwabach, Kreisfreie Stadt",DE255,-0.02992029233859217,-0.04082126819014505,-0.020908982670634416,-0.008553298838881533,107,0.701,0.842,0.82,0.484,3
DE: Altenkirchen (Westerwald),DEB13,-0.030171964504895066,-0.04108871144729476,-0.019845023611733206,-0.010686241406214669,106,0.717,0.133,0.978,0.093,1
DE: Bad Kreuznach,DEB14,-0.02872662490376843,-0.03849542433529388,-0.018482723511257678,-0.008742072772904745,109,0.661,0.577,0.264,0.101,1
