Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
DE: Neunkirchen,DEC03,-0.08612110200178312,-0.11888591450678275,-0.06683648372579239,-0.033499460615782246,115,0.826,0.467,0.74,0.285,2
DE: Saarlouis,DEC04,-0.0864450008447588,-0.10543670457842781,-0.06097576360802926,-0.037814541569585414,116,0.836,0.531,0.776,0.344,2
"DE: Krefeld, Kreisfreie Stadt",DEA14,-0.0804515347563042,-0.10490194548313919,-0.05540555304106254,-0.029309399848151143,118,0.771,0.769,0.694,0.411,3
"DE: Mönchengladbach, Kreisfreie Stadt",DEA15,-0.07348155906383134,-0.09592118065602327,-0.05361416491384303,-0.027820296973049732,118,0.746,1.0,0.695,0.518,3
"DE: Mülheim an der Ruhr, Kreisfreie Stadt",DEA16,-0.08749243921017542,-0.11588684438685887,-0.06256047288912955,-0.033386191714771016,111,0.829,0.591,0.696,0.341,2
"DE: Oberhausen, Kreisfreie Stadt",DEA17,-0.08010868473150012,-0.10127995283091297,-0.063821064559617,-0.03480178849455068,113,0.814,0.803,0.696,0.455,3
"DE: Remscheid, Kreisfreie Stadt",DEA18,-0.08897281980680313,-0.11811156455157165,-0.06691798490452729,-0.03290103320731025,107,0.785,0.314,0.694,0.171,1
"DE: Solingen, Kreisfreie Stadt",DEA19,-0.08043959172260674,-0.10436647360398635,-0.06548759170857807,-0.037211176479988665,115,0.826,0.399,0.695,0.229,2
DE: Trier-Saarburg,DEB25,-0.0842690724523478,-0.10858032725470582,-0.0669805628150568,-0.03251465513010769,117,0.769,0.473,0.747,0.272,2
"DE: Tübingen, Landkreis",DE142,-0.09300685419111297,-0.13130138803844515,-0.06196529183914579,-0.031401429933988804,104,0.798,0.781,0.537,0.335,2
DE: Zollernalbkreis,DE143,-0.08742186804380729,-0.13026444662095985,-0.06790728044400914,-0.03346392425726412,110,0.782,0.591,0.536,0.248,2
