"NUTS_ID","cropland","livestock","waterstress","population"
"SK02",0.200678786529338,0.0745694272483854,0.0166309160480519,0.0162629987606617
"SK03",0.0481331468888148,0.0297383771618434,0.0315638460944262,0.0108575819617339
"SK04",0.0659826296028868,0.0185606147075728,0.0271227694979512,0.0136287259333443
"TR10",0.0735947812635349,0.0499292430965998,0.202685630183674,0.3705124723079
"TR21",0.226940658810779,0.0310995626275502,0.0694422688734071,0.0118186178382008
"TR22",0.0898259123228442,0.206020323786409,0.0424868427041894,0.00923739845824957
"TR31",0.0984800354601332,0.248185224678695,0.0967045456955738,0.047706989027859
"TR32",0.0957067396377941,0.0575911040652634,0.165184905205393,0.0121291036143285
"TR33",0.154845448435643,0.238560850036416,0.191811919458121,0.00868707032241518
"TR41",0.117302115124998,0.146442277920969,0.180719105265953,0.0177929509231649
"TR42",0.0632423291670856,0.480134241117511,0.0876600800448361,0.0240463838761662
"TR51",0.161286588640613,0.112042791586813,0.308759073770726,0.0276502128372309
"TR52",0.124160085097681,0.0574340666746259,0.342964193753515,0.00610391148376939
"TR61",0.0962086378240017,0.0211419488387123,0.162279159073644,0.0105971179622465
"TR62",0.12268263808467,0.125368375302432,0.0805083860466478,0.017823989324634
"TR63",0.163227103575416,0.0326444271943033,0.108024755875398,0.0180755915134928
"TR71",0.161475367907086,0.0324019586085742,0.261330104347999,0.00616569895992832
"TR72",0.0967925485394282,0.0219988272152519,0.146685036665581,0.00504275993619607
"TR81",0.0468103953422776,0.11522825009486,0.0296065798177791,0.0142982596743306
"TR82",0.0542630669331706,0.0298214268390633,0.0368936587229472,0.00351915453954798
"TR83",0.118911803892546,0.0506886782794627,0.0610028392816508,0.0094633814712832
"TR90",0.0519136140126042,0.00800628283976959,0.0263469452389016,0.00969581378548838
"TRA1",0.0359658485699011,0.0121060455819663,0.0597322844155697,0.00315488487515551
"TRA2",0.0620677611592441,0.028237214879887,0.305925827060002,0.00472978432807108
"TRB1",0.0372565056635391,0.0409877324416332,0.0874302291320239,0.00579410768818354
"TRB2",0.0388488416195764,0.0224521487940325,0.160867298190919,0.00604950153373484
"TRC1",0.18243033097737,0.0528427697276243,0.144742959969767,0.0225864648269909
"TRC2",0.192127515082552,0.0235320225136981,0.216993617628552,0.0135947255445705
"TRC3",0.117041372275758,0.0296625975593818,0.16473067679164,0.0110332220465847
"UKC1",0.104892189937162,0.123081697308041,0.0414528015642106,NA
"UKC2",0.0782195534002517,0.0474835203986735,0.0306488092335447,NA
"UKD1",0.00869260544173892,0.0870776474218191,0.0073232377590785,NA
"UKD3",0.0546651106163003,0.0519899622103652,0.133249798069879,NA
"UKD4",0.0425995190244069,0.132075934434854,0.053237421100236,NA
"UKD6",0.0923932135519033,0.0996692966895675,0.113043515100654,NA
"UKD7",0.185858829283824,0.0299446136788626,0.0548361232072026,NA
"UKE1",0.328781278672669,0.259269913848632,0.0559551854276365,NA
"UKE2",0.143185145944272,0.13790993243288,0.0547226691591877,NA
"UKE3",0.188908810461629,0.0523162062103462,0.0938504065665437,NA
"UKE4",0.0990289420852253,0.062624361441154,0.116557558765048,NA
"UKF1",0.161213263652667,0.14848023374023,0.112277726871501,NA
"UKF2",0.247116597461073,0.145833861802079,0.0944171149883425,NA
"UKF3",0.296533514955785,0.345300296257888,0.0610669383209399,NA
"UKG1",0.182532528892723,0.254143292015011,0.0626786759819466,NA
"UKG2",0.100430955604943,0.205299924829599,0.0742218101920124,NA
"UKG3",0.12341245287104,0.0394877699887203,0.124567358705509,NA
"UKH1",0.249270859221997,0.25240236206001,0.0801884222276916,NA
"UKH2",0.256889590901256,0.0369120017319293,0.239730610836169,NA
"UKH3",0.254750241487372,0.0921360568449946,0.235488089754977,NA
"UKI3",0,0.000129284549459041,0.568648443467906,NA
"UKI4",0.0146894449567654,0.000241263117294718,0.392224646227619,NA
"UKI5",0.151703245548537,0.0212872965320877,0.392224646227619,NA
"UKI6",0.0628748009322248,0.0120742147115754,0.267012945122835,NA
"UKI7",0.0268590944081604,0.0121253851548486,0.356723661874129,NA
"UKJ1",0.177053553757645,0.102856098332736,0.198896420681309,NA
"UKJ2",0.0717698194528547,0.0428256085380697,0.124228522446604,NA
"UKJ3",0.13135202906975,0.0791492176462328,0.0906355294717979,NA
"UKJ4",0.126396271851892,0.0826064994066639,0.14143164072872,NA
"UKK1",0.153098931296348,0.159580404172008,0.0564690929046211,NA
"UKK2",0.0858708389946532,0.149445593280118,0.0410528027426327,NA
"UKK3",0.0484628631988578,0.0612603353737983,0.0123755401646691,NA
"UKK4",0.0355842518075017,0.141252289951848,0.0153428289318482,NA
"UKL1",0.00567252211039959,0.0606884786672734,0.016312043877606,NA
"UKL2",0.0288779427462447,0.178103762677694,0.0298646331550814,NA
"UKM5",0.0946387306339755,0.020930303498789,0.00791934054932993,NA
"UKM6",0.00409904923110207,0.0064436708567154,0.00187764396935211,NA
"UKM7",0.0760441629416867,0.0695907106154603,0.0204106335628286,NA
"UKM8",0.00577587541570793,0.0291638523935969,0.0267967072124733,NA
"UKM9",0.0283478861522139,0.0547268443853548,0.0159812045329224,NA
"UKN0",0.0127431375089279,0.189802567197951,0.0133179687138309,NA
